date,open,high,low,close,volume
20180711,710,724,702.22,719.58,2427845
20180712,718,741.17,718,737.54,4017004
20180713,742.3,748.1,735.12,746.99,2890704
20180716,752.3,764.11,751.03,754.68,3247487
20180717,757,757,736.02,742.43,2780603
20180718,742.43,749.69,735,737.44,2452171
20180719,739,743.95,735.02,740.95,1807850
20180720,741.5,743.13,728,741.13,3054850
20180723,736,741.15,720.01,732.07,3596989
20180724,732.68,747.3,723,745.4,4180860
20180725,746.95,749.88,740.01,743.81,2174388
20180726,748.9,748.9,734.23,735.62,2306726
20180727,736,744.3,730,738.56,2091360
20180730,738.9,740.66,715,719.21,4217166
20180731,720.3,727.88,719.21,726.44,2068346
20180801,731.4,732.3,714.11,714.94,2523788
20180802,715.97,715.97,687.88,695.84,5500143
20180803,695,695,676.2,678.99,4733699
20180806,677,684,662.25,669.68,4524812
20180807,672.3,687.83,662.02,686.28,3908559
20180808,687.02,689,671.87,676.22,2968544
20180809,671,694.5,670.12,691.88,3448575
20180810,691.88,694.77,684.2,687.18,2381767
20180813,683,683,666.68,679.22,3457041
20180814,679.22,684.5,673.51,680.13,2169683
20180815,679.8,680,661,662.8,3499709
20180816,652,668.5,640,648.44,5993985
20180817,657.5,657.5,630.01,634.86,4657457
20180820,632.45,645.55,616.86,644.79,4885234
20180821,647,672.3,647,671.49,5224902
20180822,671,673.2,663,667.7,2067551
20180823,671.7,678.5,665.18,670.21,2735727
20180824,669,669,656.46,660.3,2609026
20180827,662,687.3,662,687.3,4801692
20180828,693,693.78,678.55,681,3248890
20180829,682,688.88,679.1,685.85,2740403
20180830,688.21,692.6,679.01,680.4,3378833
20180831,676.25,677,656.5,659.19,5898093
20180903,652,667.67,650.8,666.21,3017984
20180904,666.8,676,661.6,675.04,2154048
20180905,675,676.99,657,657.79,2898342
20180906,652,659.26,640,644,4237058
20180907,645.5,658.03,645.14,650.97,2924006
20180910,652.2,653.81,640.7,644.8,2120220
20180911,645.57,650.97,640.63,646,1949687
20180912,643,644.87,628.01,630,4115737
20180913,638,642,620,631.98,4771316
20180914,633.98,649.78,628.53,642.9,4090019
20180917,645,652.96,641.06,645.81,2911295
20180918,643,668,642.22,666.7,3785868
20180919,666.58,686,666,681.42,4822184
